Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Nov 2060,1.6581509449561422e-06,1.7268792610627084e-06,1.7956075771692743e-06
01 Dec 2060,1.8792250791209118e-06,1.8794739773949428e-06,1.8797228756689738e-06
01 Jan 2061,1.7857179801990567e-06,1.802998698212048e-06,1.8202794162250391e-06
01 Feb 2061,1.989870780846574e-06,2.113370312533375e-06,2.236869844220175e-06
01 Mar 2061,1.3190549070738462e-06,1.3697888615057989e-06,1.4205228159377515e-06
01 Apr 2061,4.251084737953055e-07,5.70838191605095e-07,7.165679094148844e-07
01 May 2061,4.0248662985927114e-07,5.026278765811933e-07,6.027691233031155e-07
01 Jun 2061,3.846866082892612e-07,4.4958670735869787e-07,5.144868064281346e-07
01 Jul 2061,3.8926818293440425e-07,5.086976916708363e-07,6.281272004072684e-07
01 Aug 2061,4.2887788986017475e-07,5.148851678925938e-07,6.008924459250129e-07
01 Sep 2061,6.978653016918273e-07,7.636575844994359e-07,8.294498673070446e-07
01 Oct 2061,1.2705156080535732e-06,1.3849389488393858e-06,1.4993622896251987e-06
01 Nov 2061,1.7943912961049642e-06,1.8695812902653423e-06,1.9447712844257205e-06
01 Dec 2061,1.8821819034819622e-06,1.8870051189168833e-06,1.8918283343518045e-06
01 Jan 2062,1.4682273127383173e-06,1.5757721505398395e-06,1.6833169883413617e-06
01 Feb 2062,1.4804061199905702e-06,1.9277485649255522e-06,2.3750910098605345e-06
01 Mar 2062,9.805084838841613e-07,1.0599600849631244e-06,1.1394116860420873e-06
01 Apr 2062,3.8561157608450395e-07,6.31710905268582e-07,8.778102344526599e-07
01 May 2062,1.7356907302789177e-07,2.75787052415439e-07,3.780050318029863e-07
01 Jun 2062,3.061539562155739e-07,3.199502419062045e-07,3.3374652759683507e-07
01 Jul 2062,4.1594666357276985e-07,4.2834444519095644e-07,4.407422268091431e-07
01 Aug 2062,4.7440719713857546e-07,5.048076406968542e-07,5.352080842551331e-07
01 Sep 2062,7.749461423415222e-07,8.172288147302816e-07,8.595114871190412e-07
01 Oct 2062,1.0634694011430214e-06,1.1250772128617526e-06,1.1866850245804836e-06
01 Nov 2062,1.82611069218879e-06,1.8787745335713626e-06,1.9314383749539356e-06
01 Dec 2062,1.6478345756772978e-06,1.6506104619183562e-06,1.6533863481594147e-06
01 Jan 2063,1.443484572680101e-06,1.4868974416000403e-06,1.5303103105199799e-06
01 Feb 2063,1.4697905115975192e-06,1.9316375220491095e-06,2.3934845325006996e-06
01 Mar 2063,1.0151533671873717e-06,1.2356282197678807e-06,1.4561030723483898e-06
01 Apr 2063,5.812385214628253e-07,6.428247136119203e-07,7.044109057610154e-07
01 May 2063,4.4531208130986333e-07,5.779570497584595e-07,7.106020182070557e-07
01 Jun 2063,3.5320734096539147e-07,5.686826401690789e-07,7.841579393727661e-07
01 Jul 2063,3.909285306666928e-07,5.087090117641826e-07,6.264894928616723e-07
01 Aug 2063,5.684427824783353e-07,7.150510631064972e-07,8.61659343734659e-07
01 Sep 2063,8.27690092687704e-07,8.823902216340361e-07,9.370903505803683e-07
01 Oct 2063,1.2321507866834262e-06,1.26685153249429e-06,1.3015522783051536e-06
01 Nov 2063,1.6425055498349435e-06,1.709680938010288e-06,1.7768563261856326e-06
01 Dec 2063,1.8769107324148885e-06,1.9056307708059294e-06,1.9343508091969706e-06
01 Jan 2064,1.5076027283659349e-06,1.6884151735851766e-06,1.8692276188044184e-06
01 Feb 2064,1.4318152487705366e-06,1.8279792809609291e-06,2.2241433131513215e-06
01 Mar 2064,9.940735069279328e-07,1.3623298327788725e-06,1.730586158629812e-06
01 Apr 2064,5.450137089672203e-07,6.304561382945367e-07,7.15898567621853e-07
01 May 2064,1.914084589053801e-07,2.552614383564984e-07,3.191144178076166e-07
01 Jun 2064,1.714047056320334e-07,2.3350552843674377e-07,2.956063512414542e-07
01 Jul 2064,4.0370378609598383e-07,4.2500957729284827e-07,4.4631536848971265e-07
01 Aug 2064,3.5461938383000967e-07,4.104186354988825e-07,4.6621788716775536e-07
01 Sep 2064,7.494163321516293e-07,7.576793562998896e-07,7.659423804481499e-07
01 Oct 2064,1.1339084491683752e-06,1.2499776356896125e-06,1.3660468222108497e-06
01 Nov 2064,1.5051713240443025e-06,1.5393097354773703e-06,1.573448146910438e-06
01 Dec 2064,1.8149739065737788e-06,1.9024976563687087e-06,1.990021406163639e-06
01 Jan 2065,1.6911738496855932e-06,1.7361117407515588e-06,1.7810496318175241e-06
01 Feb 2065,1.4359994328977873e-06,1.898276896992888e-06,2.3605543610879883e-06
01 Mar 2065,1.4077249822389189e-06,1.5692651425086457e-06,1.7308053027783729e-06
01 Apr 2065,8.117732653608809e-07,9.79847518552465e-07,1.1479217717440491e-06
01 May 2065,7.120589568273714e-07,7.401667262454599e-07,7.682744956635484e-07
01 Jun 2065,3.606359576472367e-07,4.2067728497136725e-07,4.807186122954978e-07
01 Jul 2065,4.55678005955594e-07,4.6402192142253034e-07,4.723658368894667e-07
01 Aug 2065,4.787322423604234e-07,4.97219386843907e-07,5.157065313273906e-07
01 Sep 2065,7.95106877603777e-07,8.524033492409847e-07,9.096998208781924e-07
01 Oct 2065,1.2895886984446385e-06,1.2999736391742648e-06,1.3103585799038909e-06
01 Nov 2065,1.6562301560065904e-06,1.6864336392907284e-06,1.7166371225748664e-06
01 Dec 2065,1.666954038017487e-06,1.8103494473900756e-06,1.953744856762664e-06
01 Jan 2066,1.6480973500977614e-06,1.763756258042509e-06,1.8794151659872565e-06
01 Feb 2066,1.4125896483976326e-06,1.4205310320518934e-06,1.4284724157061542e-06
01 Mar 2066,1.4481667691315557e-06,1.4792315758710557e-06,1.510296382610556e-06
01 Apr 2066,8.912010455163986e-07,9.000441548412127e-07,9.088872641660267e-07
01 May 2066,5.136765946860153e-07,5.328848615643108e-07,5.520931284426062e-07
01 Jun 2066,3.2751263932350427e-07,4.097624972609218e-07,4.920123551983393e-07
01 Jul 2066,4.766246288101018e-07,5.136028299445303e-07,5.505810310789588e-07
01 Aug 2066,5.103760270397431e-07,5.177047027381024e-07,5.250333784364617e-07
01 Sep 2066,7.366260719460599e-07,7.984737114753733e-07,8.603213510046867e-07
01 Oct 2066,1.140551788054211e-06,1.2309572759853736e-06,1.3213627639165361e-06
01 Nov 2066,1.6218139648095353e-06,1.6590073606736048e-06,1.6962007565376742e-06
01 Dec 2066,1.8671392015080066e-06,1.8805429043424527e-06,1.8939466071768986e-06
01 Jan 2067,1.1680290524754225e-06,1.4853544005368238e-06,1.8026797485982252e-06
01 Feb 2067,1.4370694436811517e-06,1.9008105324143825e-06,2.364551621147613e-06
01 Mar 2067,1.1409369792275255e-06,1.205488369409721e-06,1.2700397595919168e-06
01 Apr 2067,7.631469921243298e-07,1.030213167667222e-06,1.2972793432101141e-06
01 May 2067,4.609705501751689e-07,5.00918395372788e-07,5.40866240570407e-07
01 Jun 2067,6.846374412980635e-07,7.943900097141977e-07,9.041425781303318e-07
01 Jul 2067,6.970202387500317e-07,7.717762899029611e-07,8.465323410558906e-07
01 Aug 2067,5.90989656158812e-07,6.66407878417408e-07,7.418261006760038e-07
01 Sep 2067,8.694671071445696e-07,9.222567317490764e-07,9.750463563535833e-07
01 Oct 2067,1.3478322067091133e-06,1.3908534945513286e-06,1.433874782393544e-06
01 Nov 2067,1.830626618648545e-06,1.8370101459691215e-06,1.843393673289698e-06
01 Dec 2067,1.8368232232529323e-06,1.918168832449778e-06,1.999514441646624e-06
01 Jan 2068,1.8149615659691774e-06,1.8428643812868638e-06,1.8707671966045505e-06
01 Feb 2068,1.4638096463132183e-06,1.7151164032120263e-06,1.9664231601108343e-06
01 Mar 2068,1.2738943834667927e-06,1.5840272288291354e-06,1.8941600741914782e-06
01 Apr 2068,5.928425778778635e-07,7.208780074002469e-07,8.489134369226303e-07
01 May 2068,2.1175707698024118e-07,3.174920294038881e-07,4.2322698182753496e-07
01 Jun 2068,2.7284726746022466e-07,3.7667665552347705e-07,4.805060435867295e-07
01 Jul 2068,4.838253046851559e-07,5.333457077036059e-07,5.828661107220558e-07
01 Aug 2068,4.6089267327596773e-07,6.160905499560062e-07,7.712884266360447e-07
01 Sep 2068,8.361268455344578e-07,8.742281042949194e-07,9.12329363055381e-07
01 Oct 2068,1.2569496915403915e-06,1.342794019420781e-06,1.4286383473011705e-06
01 Nov 2068,1.8317276564359407e-06,1.8477773927231002e-06,1.8638271290102596e-06
01 Dec 2068,1.6983093122985213e-06,1.7083700054624537e-06,1.718430698626386e-06
01 Jan 2069,1.6630045467190596e-06,1.6734269403320893e-06,1.683849333945119e-06
01 Feb 2069,1.5191983009047589e-06,1.9631841388253336e-06,2.4071699767459086e-06
01 Mar 2069,1.137646954126168e-06,1.3204337683601967e-06,1.5032205825942254e-06
01 Apr 2069,3.760958205562533e-07,4.7406989971080174e-07,5.720439788653502e-07
01 May 2069,2.037618462892298e-07,2.4137852381792693e-07,2.7899520134662405e-07
01 Jun 2069,3.1252462421342016e-07,4.946134251383013e-07,6.767022260631825e-07
01 Jul 2069,5.025212533951542e-07,5.348505302696435e-07,5.671798071441328e-07
01 Aug 2069,4.865936495513978e-07,5.36412425513603e-07,5.862312014758084e-07
01 Sep 2069,7.670697127520207e-07,8.721663205206088e-07,9.772629282891969e-07
01 Oct 2069,1.3423306682886008e-06,1.4175340414519528e-06,1.492737414615305e-06
01 Nov 2069,1.8844351567885203e-06,1.912109491755554e-06,1.9397838267225877e-06
01 Dec 2069,1.6607280814762114e-06,1.7730606236843514e-06,1.8853931658924912e-06
01 Jan 2070,1.5005913241929147e-06,1.5154143463182295e-06,1.5302373684435444e-06
01 Feb 2070,1.4573097308147353e-06,1.9178276589029996e-06,2.3783455869912646e-06
01 Mar 2070,1.2964750904170293e-06,1.2993471592348613e-06,1.3022192280526934e-06
