Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Nov 2021,1.8215904294123108e-06,1.8637719356610482e-06,1.9059534419097856e-06
01 Dec 2021,1.6481288557403232e-06,1.7357321190899537e-06,1.8233353824395843e-06
01 Jan 2022,1.5969941249360845e-06,1.959928482149129e-06,2.3228628393621737e-06
01 Feb 2022,2.484672185401292e-06,2.6169113969163776e-06,2.749150608431463e-06
01 Mar 2022,1.8320777409386573e-06,2.0180214988753804e-06,2.2039652568121036e-06
01 Apr 2022,6.805778530539161e-07,1.018820722791678e-06,1.3570635925294396e-06
01 May 2022,7.304100494395876e-07,9.238951262688214e-07,1.1173802030980552e-06
01 Jun 2022,8.294282441716694e-07,8.53863305264497e-07,8.782983663573247e-07
01 Jul 2022,4.3637862040205696e-07,5.147241208524417e-07,5.930696213028266e-07
01 Aug 2022,4.420159553067598e-07,5.069927264050946e-07,5.719694975034294e-07
01 Sep 2022,7.029096247905093e-07,7.561193815037879e-07,8.093291382170665e-07
01 Oct 2022,1.4102794791782147e-06,1.4656024028236858e-06,1.520925326469157e-06
01 Nov 2022,1.8170413468672302e-06,1.8344652170938999e-06,1.8518890873205695e-06
01 Dec 2022,1.5907982937992513e-06,1.752760704058748e-06,1.9147231143182445e-06
01 Jan 2023,1.489031718450205e-06,1.7070125613426384e-06,1.924993404235072e-06
01 Feb 2023,2.3393938579600844e-06,2.5178038047769737e-06,2.696213751593863e-06
01 Mar 2023,2.0152516585465274e-06,2.190350525936346e-06,2.365449393326165e-06
01 Apr 2023,7.698653767143013e-07,1.2378720603412517e-06,1.705878743968202e-06
01 May 2023,3.45600283494579e-07,8.293362211115765e-07,1.313072158728574e-06
01 Jun 2023,3.4248935735320225e-07,5.38715222346266e-07,7.349410873393298e-07
01 Jul 2023,4.55169054813426e-07,5.236339142700739e-07,5.920987737267218e-07
01 Aug 2023,3.907907064788776e-07,5.154594816791143e-07,6.401282568793512e-07
01 Sep 2023,7.79933131034747e-07,8.692575810784139e-07,9.58582031122081e-07
01 Oct 2023,1.2698727012740318e-06,1.3245844636544156e-06,1.3792962260347997e-06
01 Nov 2023,1.6237331629691523e-06,1.7213455169620618e-06,1.8189578709549713e-06
01 Dec 2023,1.8193142468822158e-06,1.933231803246273e-06,2.0471493596103303e-06
01 Jan 2024,1.934276195838483e-06,1.9482486552075204e-06,1.9622211145765577e-06
01 Feb 2024,1.6955513677739924e-06,1.7652382606469256e-06,1.834925153519859e-06
01 Mar 2024,1.4793780721621402e-06,1.783214913541e-06,2.08705175491986e-06
01 Apr 2024,1.211489461018891e-06,1.461050039513647e-06,1.710610618008403e-06
01 May 2024,5.749041781982101e-07,8.370294909499062e-07,1.0991548037016023e-06
01 Jun 2024,3.8254434009892673e-07,8.048624158616275e-07,1.2271804916243282e-06
01 Jul 2024,6.762467889405852e-07,7.94684312827313e-07,9.131218367140408e-07
01 Aug 2024,5.740030100608049e-07,7.497595046060683e-07,9.255159991513317e-07
01 Sep 2024,6.580434377359724e-07,8.80435448710615e-07,1.1028274596852575e-06
01 Oct 2024,1.3952629048449655e-06,1.444388552681951e-06,1.4935142005189367e-06
01 Nov 2024,1.5940507657455467e-06,1.8123938086832966e-06,2.030736851621047e-06
